email_text,category
How to change my address in the HR system?,HR
How do I reset my password?,IT
Can I bring my pet to the office on Friday?,Other
What is the maternity leave policy?,HR
The printer is not working.,IT
Can we have a coffee machine in the break room?,Other
What is the process to update my PAN card details?,HR
My laptop is overheating.,IT
Is there a parking spot available?,Other
When is the next company holiday?,HR
My laptop is overheating.,IT
Can I bring my pet to the office on Friday?,Other
Can I apply for sabbatical leave?,HR
My webcam is not detected in meetings.,IT
Can we plan a team lunch?,Other
What is the maternity leave policy?,HR
How do I reset my password?,IT
I found a bug in the HR portal.,Other
Can I apply for sabbatical leave?,HR
I need access to the project repository.,IT
Who do I contact for travel booking?,Other
How many paid leaves do I have left?,HR
My webcam is not detected in meetings.,IT
Is there a parking spot available?,Other
When is the next company holiday?,HR
I need access to the project repository.,IT
Can we plan a team lunch?,Other
Can I apply for sabbatical leave?,HR
I need access to the project repository.,IT
Can I bring my pet to the office on Friday?,Other
When will the appraisal letters be sent?,HR
How do I reset my password?,IT
I found a bug in the HR portal.,Other
Can I apply for sabbatical leave?,HR
I can't log in to my system.,IT
Who do I contact for travel booking?,Other
What is the process to update my PAN card details?,HR
My system is running very slow.,IT
I found a bug in the HR portal.,Other
When will the appraisal letters be sent?,HR
My system is running very slow.,IT
Who is the new team lead?,Other
What is the maternity leave policy?,HR
How do I reset my password?,IT
Is there a parking spot available?,Other
What is the maternity leave policy?,HR
VPN is disconnected again.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
My system is running very slow.,IT
Where is the fire exit located?,Other
When will the appraisal letters be sent?,HR
I am unable to install software updates.,IT
Who is the new team lead?,Other
How do I update my bank details?,HR
My webcam is not detected in meetings.,IT
Who do I contact for travel booking?,Other
What is the process to update my PAN card details?,HR
I need access to the project repository.,IT
Can we have a coffee machine in the break room?,Other
When will the appraisal letters be sent?,HR
The printer is not working.,IT
Who is the new team lead?,Other
When will the appraisal letters be sent?,HR
I can't log in to my system.,IT
Is there a parking spot available?,Other
Where can I view my salary slip?,HR
I can't log in to my system.,IT
Can we have a coffee machine in the break room?,Other
When is the next company holiday?,HR
VPN is disconnected again.,IT
Who is the new team lead?,Other
Can I apply for sabbatical leave?,HR
I am unable to install software updates.,IT
How do I submit feedback about cafeteria food?,Other
What is the maternity leave policy?,HR
I can't log in to my system.,IT
Can we plan a team lunch?,Other
How to change my address in the HR system?,HR
VPN is disconnected again.,IT
Who is the new team lead?,Other
What is the process to update my PAN card details?,HR
I am unable to install software updates.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
I can't log in to my system.,IT
Who is the new team lead?,Other
When will the appraisal letters be sent?,HR
I am unable to install software updates.,IT
Can we decorate the office for Diwali?,Other
Can I take leave tomorrow?,HR
I can't log in to my system.,IT
Where is the fire exit located?,Other
How to change my address in the HR system?,HR
I need access to the project repository.,IT
Can I bring my pet to the office on Friday?,Other
Where can I view my salary slip?,HR
My webcam is not detected in meetings.,IT
How do I submit feedback about cafeteria food?,Other
What is the process to update my PAN card details?,HR
I need access to the project repository.,IT
Is there a parking spot available?,Other
Where can I view my salary slip?,HR
I can't log in to my system.,IT
Is there a parking spot available?,Other
How do I update my bank details?,HR
I can't log in to my system.,IT
How do I submit feedback about cafeteria food?,Other
What is the maternity leave policy?,HR
I can't log in to my system.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
The printer is not working.,IT
I found a bug in the HR portal.,Other
What is the process to update my PAN card details?,HR
I am unable to install software updates.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
My email is not working.,IT
How do I submit feedback about cafeteria food?,Other
What is the process to update my PAN card details?,HR
I am unable to install software updates.,IT
Can we plan a team lunch?,Other
When is the next company holiday?,HR
My email is not working.,IT
Can I bring my pet to the office on Friday?,Other
When is the next company holiday?,HR
I can't log in to my system.,IT
How do I submit feedback about cafeteria food?,Other
When will the appraisal letters be sent?,HR
I am unable to install software updates.,IT
Can we plan a team lunch?,Other
When is the next company holiday?,HR
How do I reset my password?,IT
Where is the fire exit located?,Other
Where can I view my salary slip?,HR
I need access to the project repository.,IT
How do I submit feedback about cafeteria food?,Other
How do I update my bank details?,HR
My laptop is overheating.,IT
Who is the new team lead?,Other
How many paid leaves do I have left?,HR
My laptop is overheating.,IT
Is there a parking spot available?,Other
Can I apply for sabbatical leave?,HR
My webcam is not detected in meetings.,IT
I found a bug in the HR portal.,Other
When is the next company holiday?,HR
I am unable to install software updates.,IT
How do I submit feedback about cafeteria food?,Other
Can I take leave tomorrow?,HR
My laptop is overheating.,IT
Who do I contact for travel booking?,Other
Can I take leave tomorrow?,HR
I am unable to install software updates.,IT
Who do I contact for travel booking?,Other
When is the next company holiday?,HR
I am unable to install software updates.,IT
Where is the fire exit located?,Other
Can I take leave tomorrow?,HR
I am unable to install software updates.,IT
Can we plan a team lunch?,Other
What is the maternity leave policy?,HR
My system is running very slow.,IT
Can I bring my pet to the office on Friday?,Other
When is the next company holiday?,HR
My system is running very slow.,IT
Where is the fire exit located?,Other
What is the process to update my PAN card details?,HR
The printer is not working.,IT
Can we decorate the office for Diwali?,Other
Where can I view my salary slip?,HR
My email is not working.,IT
Can we have a coffee machine in the break room?,Other
How do I update my bank details?,HR
My laptop is overheating.,IT
Can we plan a team lunch?,Other
When is the next company holiday?,HR
VPN is disconnected again.,IT
Where is the fire exit located?,Other
When will the appraisal letters be sent?,HR
My system is running very slow.,IT
Can we decorate the office for Diwali?,Other
What is the process to update my PAN card details?,HR
I can't log in to my system.,IT
I found a bug in the HR portal.,Other
What is the process to update my PAN card details?,HR
How do I reset my password?,IT
Can I bring my pet to the office on Friday?,Other
When is the next company holiday?,HR
My webcam is not detected in meetings.,IT
Can we plan a team lunch?,Other
How many paid leaves do I have left?,HR
I am unable to install software updates.,IT
Is there a parking spot available?,Other
What is the maternity leave policy?,HR
My email is not working.,IT
Is there a parking spot available?,Other
Where can I view my salary slip?,HR
How do I reset my password?,IT
Can we have a coffee machine in the break room?,Other
Where can I view my salary slip?,HR
I am unable to install software updates.,IT
Who is the new team lead?,Other
How do I update my bank details?,HR
My laptop is overheating.,IT
Can we have a coffee machine in the break room?,Other
Can I apply for sabbatical leave?,HR
I can't log in to my system.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
I need access to the project repository.,IT
Can we decorate the office for Diwali?,Other
How to change my address in the HR system?,HR
I need access to the project repository.,IT
Can we plan a team lunch?,Other
How do I update my bank details?,HR
VPN is disconnected again.,IT
I found a bug in the HR portal.,Other
How to change my address in the HR system?,HR
My email is not working.,IT
Where is the fire exit located?,Other
What is the maternity leave policy?,HR
How do I reset my password?,IT
How do I submit feedback about cafeteria food?,Other
Can I take leave tomorrow?,HR
VPN is disconnected again.,IT
Can we have a coffee machine in the break room?,Other
How to change my address in the HR system?,HR
I can't log in to my system.,IT
How do I submit feedback about cafeteria food?,Other
How do I update my bank details?,HR
The printer is not working.,IT
Who do I contact for travel booking?,Other
How do I update my bank details?,HR
My system is running very slow.,IT
Can we have a coffee machine in the break room?,Other
How do I update my bank details?,HR
How do I reset my password?,IT
Is there a parking spot available?,Other
What is the process to update my PAN card details?,HR
My email is not working.,IT
Can I bring my pet to the office on Friday?,Other
When is the next company holiday?,HR
My laptop is overheating.,IT
Who is the new team lead?,Other
When is the next company holiday?,HR
My system is running very slow.,IT
Who is the new team lead?,Other
Can I apply for sabbatical leave?,HR
The printer is not working.,IT
Who do I contact for travel booking?,Other
How many paid leaves do I have left?,HR
My system is running very slow.,IT
I found a bug in the HR portal.,Other
Where can I view my salary slip?,HR
How do I reset my password?,IT
How do I submit feedback about cafeteria food?,Other
How to change my address in the HR system?,HR
I can't log in to my system.,IT
Who is the new team lead?,Other
When is the next company holiday?,HR
My laptop is overheating.,IT
Where is the fire exit located?,Other
When is the next company holiday?,HR
The printer is not working.,IT
Can we have a coffee machine in the break room?,Other
Can I take leave tomorrow?,HR
How do I reset my password?,IT
Is there a parking spot available?,Other
What is the maternity leave policy?,HR
The printer is not working.,IT
Can we plan a team lunch?,Other
How do I update my bank details?,HR
I need access to the project repository.,IT
I found a bug in the HR portal.,Other
When is the next company holiday?,HR
My system is running very slow.,IT
I found a bug in the HR portal.,Other
How many paid leaves do I have left?,HR
VPN is disconnected again.,IT
Who is the new team lead?,Other
What is the maternity leave policy?,HR
My laptop is overheating.,IT
Where is the fire exit located?,Other
How to change my address in the HR system?,HR
I can't log in to my system.,IT
Can I bring my pet to the office on Friday?,Other
Can I apply for sabbatical leave?,HR
My system is running very slow.,IT
Can we plan a team lunch?,Other
How to change my address in the HR system?,HR
I need access to the project repository.,IT
Can I bring my pet to the office on Friday?,Other
Can I take leave tomorrow?,HR
How do I reset my password?,IT
Who do I contact for travel booking?,Other
When is the next company holiday?,HR
I can't log in to my system.,IT
Is there a parking spot available?,Other
